,Year,Province,total
236,2557,chainat,1043
237,2557,chaiyaphum,1657
238,2557,chanthaburi,1494
239,2557,chiangmai,1238
240,2557,chiangrai,2156
241,2557,chonburi,4336
242,2557,chumphon,2587
243,2557,kalasin,1502
244,2557,kamphaengphet,726
245,2557,kanchanaburi,1383
246,2557,khonkaen,5206
247,2557,krabi,1010
248,2557,krungthepmahanakhon,28088
249,2557,lampang,2043
250,2557,lamphun,940
251,2557,loei,851
252,2557,lopburi,1648
253,2557,maehongson,534
254,2557,mahasarakham,1606
255,2557,mukdahan,628
256,2557,nakhonnayok,931
257,2557,nakhonpathom,1812
258,2557,nakhonphanom,609
259,2557,nakhonratchasima,4529
260,2557,nakhonsawan,956
261,2557,nakhonsithammarat,2744
262,2557,nan,1297
263,2557,narathiwat,1411
264,2557,nongbualamphu,1189
265,2557,nongkhai,2576
266,2557,nonthaburi,2356
267,2557,pathumthani,1904
268,2557,pattani,2011
269,2557,phangnga,745
270,2557,phatthalung,1542
271,2557,phayao,1105
272,2557,phetchabun,1514
273,2557,phetchaburi,1715
274,2557,phichit,1759
275,2557,phitsanulok,2203
276,2557,phrae,5667
277,2557,phranakhonsi-ayutthaya,1556
278,2557,phuket,716
279,2557,prachinburi,1001
280,2557,prachuapkhirikhan,2131
281,2557,ranong,1090
282,2557,ratchaburi,986
283,2557,rayong,1524
284,2557,roi-et,1968
285,2557,sakaeo,764
286,2557,sakonnakhon,666
287,2557,samutprakan,1810
288,2557,samutsakhon,540
289,2557,samutsongkhram,1070
290,2557,saraburi,1566
291,2557,satun,756
292,2557,singburi,800
293,2557,sisaket,1842
294,2557,songkhla,4486
295,2557,sukhothai,1103
296,2557,suphanburi,1370
297,2557,suratthani,474
298,2557,surin,1879
299,2557,tak,1040
300,2557,trang,1088
301,2557,trat,683
302,2557,ubonratchathani,617
303,2557,udonthani,1720
304,2557,uthaithani,689
305,2557,utradit,1092
306,2557,yala,1656
307,2557,yasothon,922
308,2558,amnatcharoen,619
309,2558,angthong,717
310,2558,buengkan,539
311,2558,buriram,2231
312,2558,chachoengthrao,1257
313,2558,chainat,719
314,2558,chaiyaphum,1596
315,2558,chanthaburi,1566
316,2558,chiangmai,5516
317,2558,chiangrai,2240
318,2558,chonburi,4339
319,2558,chumphon,1034
320,2558,kalasin,1523
321,2558,kamphaengphet,991
322,2558,kanchanaburi,1361
323,2558,khonkaen,5220
324,2558,krabi,790
325,2558,krungthepmahanakhon,27558
326,2558,lampang,1982
327,2558,lamphun,943
328,2558,loei,1112
329,2558,lopburi,1577
330,2558,maehongson,510
331,2558,mahasarakham,1529
332,2558,mukdahan,644
333,2558,nakhonnayok,962
334,2558,nakhonpathom,1915
335,2558,nakhonphanom,1124
336,2558,nakhonratchasima,4511
337,2558,nakhonsawan,1835
338,2558,nakhonsithammarat,2594
339,2558,nan,1207
340,2558,narathiwat,2032
341,2558,nongbualamphu,626
342,2558,nongkhai,879
343,2558,nonthaburi,2567
344,2558,pathumthani,1881
345,2558,pattani,1843
346,2558,phangnga,706
347,2558,phatthalung,1101
348,2558,phayao,1237
349,2558,phetchabun,1362
350,2558,phetchaburi,1061
351,2558,phichit,946
352,2558,phitsanulok,2244
353,2558,phrae,1044
354,2558,phranakhonsi-ayutthaya,1535
355,2558,phuket,1150
356,2558,prachinburi,1112
357,2558,prachuapkhirikhan,969
358,2558,ranong,470
359,2558,ratchaburi,2161
360,2558,rayong,1568
361,2558,roi-et,1908
362,2558,sakaeo,756
363,2558,sakonnakhon,1665
364,2558,samutprakan,1792
365,2558,samutsakhon,1328
366,2558,samutsongkhram,537
367,2558,saraburi,1698
368,2558,satun,761
369,2558,singburi,777
370,2558,sisaket,1808
371,2558,songkhla,4498
372,2558,sukhothai,1102
373,2558,suphanburi,1706
374,2558,suratthani,2619
375,2558,surin,1839
376,2558,tak,1083
377,2558,trang,1439
378,2558,trat,662
379,2558,ubonratchathani,3514
380,2558,udonthani,2496
381,2558,uthaithani,674
382,2558,utradit,1066
383,2558,yala,1674
384,2558,yasothon,889
385,2559,amnatcharoen,616
386,2559,angthong,767
387,2559,buengkan,559
388,2559,buriram,2312
389,2559,chachoengthrao,1274
390,2559,chainat,710
391,2559,chaiyaphum,1678
392,2559,chanthaburi,1518
393,2559,chiangmai,5641
394,2559,chiangrai,2389
395,2559,chonburi,4550
396,2559,chumphon,1073
397,2559,kalasin,1513
398,2559,kamphaengphet,1018
399,2559,kanchanaburi,1447
400,2559,khonkaen,5227
401,2559,krabi,794
402,2559,krungthepmahanakhon,28905
403,2559,lampang,2030
404,2559,lamphun,972
405,2559,loei,1177
406,2559,lopburi,1565
407,2559,maehongson,516
408,2559,mahasarakham,1635
