,Year,Province,total
1024,2567,mahasarakham,2048
1025,2567,mukdahan,834
1026,2567,nakhonnayok,1086
1027,2567,nakhonpathom,2657
1028,2567,nakhonphanom,1324
1029,2567,nakhonratchasima,6898
1030,2567,nakhonsawan,2501
1031,2567,nakhonsithammarat,3386
1032,2567,nan,1425
1033,2567,narathiwat,1812
1034,2567,nongbualamphu,744
1035,2567,nongkhai,1109
1036,2567,nonthaburi,3321
1037,2567,pathumthani,3817
1038,2567,pattani,1844
1039,2567,phangnga,772
1040,2567,phatthalung,1250
1041,2567,phayao,1329
1042,2567,phetchabun,1742
1043,2567,phetchaburi,1155
1044,2567,phichit,1075
1045,2567,phitsanulok,2934
1046,2567,phrae,1185
1047,2567,phranakhonsi-ayutthaya,2012
1048,2567,phuket,1709
1049,2567,prachinburi,1143
1050,2567,prachuapkhirikhan,1161
1051,2567,ranong,512
1052,2567,ratchaburi,2307
1053,2567,rayong,2254
1054,2567,roi-et,2580
1055,2567,sakaeo,1230
1056,2567,sakonnakhon,2472
1057,2567,samutprakan,3195
1058,2567,samutsakhon,2165
1059,2567,samutsongkhram,482
1060,2567,saraburi,1868
1061,2567,satun,808
1062,2567,singburi,703
1063,2567,sisaket,2696
1064,2567,songkhla,4936
1065,2567,sukhothai,1121
1066,2567,suphanburi,2053
1067,2567,suratthani,3393
1068,2567,surin,2709
1069,2567,tak,1514
1070,2567,trang,1818
1071,2567,trat,735
1072,2567,ubonratchathani,4927
1073,2567,udonthani,3519
1074,2567,uthaithani,755
1075,2567,utradit,1337
1076,2567,yala,1610
1077,2567,yasothon,1059
