,ปี,จังหวัด,จำนวน,province_en,area_sqkm
105,2555,ปราจีนบุรี,836,prachinburi,5020.33579717407
106,2555,ปัตตานี,855,pattani,1975.95499697954
107,2555,พระนครศรีอยุธยา,1367,phranakhonsiayutthaya,2547.00670486463
108,2555,พะเยา,1209,phayao,6189.63595036332
109,2555,พังงา,679,phangnga,4580.06905945326
110,2555,พัทลุง,1040,phatthalung,3858.38806176758
111,2555,พิจิตร,827,phichit,4318.65126180923
112,2555,พิษณุโลก,2109,phitsanulok,10598.92285961757
113,2555,ภูเก็ต,1132,phuket,550.09843869971
114,2555,มหาสารคาม,1308,mahasarakham,5582.58568113667
115,2555,มุกดาหาร,546,mukdahan,4092.96993557997
116,2555,ยะลา,1357,yala,4467.26894141248
117,2555,ยโสธร,735,yasothon,4096.15430996103
118,2555,ระนอง,446,ranong,3223.65325675301
119,2555,ระยอง,1302,rayong,3665.05762206486
120,2555,ราชบุรี,2014,ratchaburi,5193.5302239491
121,2555,ร้อยเอ็ด,1335,roiet,7831.5106648173
122,2555,ลพบุรี,1554,lopburi,6501.03118525925
123,2555,ลำปาง,1871,lampang,12500.43740698581
124,2555,ลำพูน,745,lamphun,4481.18815811357
125,2555,ศรีสะเกษ,1585,sisaket,8869.49885872576
126,2555,สกลนคร,1342,sakonnakhon,9525.60546877644
127,2555,สงขลา,3987,songkhla,7745.41218398206
128,2555,สตูล,683,satun,3011.55865450342
129,2555,สมุทรปราการ,1614,samutprakan,965.96104508808
130,2555,สมุทรสงคราม,487,samutsongkhram,412.48672828899
131,2555,สมุทรสาคร,1110,samutsakhon,866.06545786264
132,2555,สระบุรี,1671,saraburi,3487.650451485
133,2555,สระแก้ว,575,sakaeo,6815.11503498248
134,2555,สิงห์บุรี,778,singburi,818.42840644624
135,2555,สุพรรณบุรี,1585,suphanburi,5409.26108410415
136,2555,สุราษฎร์ธานี,2130,suratthani,13086.21372902809
137,2555,สุรินทร์,1526,surin,8809.93517776871
138,2555,สุโขทัย,1016,sukhothai,6672.34183636511
139,2555,หนองคาย,747,nongkhai,3264.2368570057
140,2555,หนองบัวลำภู,473,nongbualamphu,4091.19415926986
141,2555,อำนาจเจริญ,503,amnatcharoen,3262.61378799809
142,2555,อุดรธานี,2074,udonthani,11032.27063166398
143,2555,อุตรดิตถ์,887,uttaradit,7867.48028212876
144,2555,อุทัยธานี,630,uthaithani,6649.64380504946
145,2555,อุบลราชธานี,2424,ubonratchathani,15472.47978609577
146,2555,อ่างทอง,711,angthong,948.98724583937
147,2555,เชียงราย,1946,chiangrai,11583.01236533042
148,2555,เชียงใหม่,5215,chiangmai,22056.88731834835
149,2555,เพชรบุรี,1020,phetchaburi,6173.00173882862
150,2555,เพชรบูรณ์,1126,phetchabun,12333.1560788834
151,2555,เลย,920,loei,10490.07923183725
152,2555,แพร่,881,phrae,6484.53249747241
153,2555,แม่ฮ่องสอน,444,maehongson,12784.28056691474
154,2556,กระบี่,584,krabi,5319.41524737463
155,2556,กรุงเทพมหานคร,23680,bangkok,1566.57785515371
156,2556,กาญจนบุรี,1148,kanchanaburi,19405.04297919269
157,2556,กาฬสินธุ์,1401,kalasin,6898.98345578631
158,2556,กำแพงเพชร,788,kamphaengphet,8520.49476797851
159,2556,ขอนแก่น,4977,khonkaen,10629.00058294659
160,2556,จันทบุรี,1473,chanthaburi,6404.21977766077
161,2556,ฉะเชิงเทรา,1142,chachoengsao,5166.90358063618
162,2556,ชลบุรี,4278,chonburi,4510.47957863486
163,2556,ชัยนาท,690,chainat,2511.79747645949
164,2556,ชัยภูมิ,1501,chaiyaphum,12679.25394167537
165,2556,ชุมพร,851,chumphon,6010.28780369493
166,2556,ตรัง,1137,trang,4733.67163479885
167,2556,ตราด,650,trat,2852.41686477382
168,2556,ตาก,845,tak,17318.85703133057
169,2556,นครนายก,917,nakhonnayok,2139.67123307373
170,2556,นครปฐม,1461,nakhonpathom,2141.72859749704
171,2556,นครพนม,1106,nakhonphanom,5591.2248017037
172,2556,นครราชสีมา,3843,nakhonratchasima,20688.81885376943
173,2556,นครศรีธรรมราช,2167,nakhonsithammarat,9892.39155890953
174,2556,นครสวรรค์,1519,nakhonsawan,9529.875918751
175,2556,นนทบุรี,2258,nonthaburi,640.29422318966
176,2556,นราธิวาส,1888,narathiwat,4487.14355388134
177,2556,น่าน,936,nan,12165.11409446458
178,2556,บึงกาฬ,359,buengkan,3979.54529298928
179,2556,บุรีรัมย์,1962,buriram,10047.11268203788
180,2556,ปทุมธานี,1856,pathumthani,1521.51426750265
181,2556,ประจวบคีรีขันธ์,761,prachuapkhirikhan,6427.18463137311
182,2556,ปราจีนบุรี,902,prachinburi,5020.33579717407
183,2556,ปัตตานี,1507,pattani,1975.95499697954
184,2556,พระนครศรีอยุธยา,1501,phranakhonsiayutthaya,2547.00670486463
185,2556,พะเยา,1071,phayao,6189.63595036332
186,2556,พังงา,650,phangnga,4580.06905945326
